číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40300,40300,4.3 Veterinary science,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40400,40400,4.4 Agricultural biotechnology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40500,40500,4.5 Other agricultural sciences,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50100,50100,5.1 Psychology and cognitive sciences,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50200,50200,5.2 Economics and Business,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50300,50300,5.3 Education,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50400,50400,5.4 Sociology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50500,50500,5.5 Law,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50600,50600,5.6 Political science,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50700,50700,5.7 Social and economic geography,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50800,50800,5.8 Media and communications,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50900,50900,5.9 Other social sciences,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/50000
